Id,Español,English
Lenguaje,Lenguaje,Language
Hola,Hola,Hello
Adiós,Adiós,Goodbye
Saludo1,¡Ey tio! ¿Qué tal todo?,¡Hey man!¿What about you?
Botón_Hola,Botón Hola,Hello Button
Botón_Adiós,Botón Adios,Goodbye Button
Botón_Saludo1,Botón Saludo1,Greetings1 Button
Boton_Español,Español,Spanish
Boton_Ingles,Inglés,English
NPC_1,Necesitamos madera para el duro invierno.,We need some wood for the hard Winter.
NPC_2,Ve al bosque a buscar un poco.,Go to the forest and look for some wood.
NPC_3,Ten cuidado con los monstruos.,Be careful with monsters.
Sentence_Dream1_1,Donde... ¿dónde estoy?,Where... ¿Where am I?
Sentence_Dream1_2,¿Qué lugar es éste?,What is this place?
Dream1_1,Soul_Despierta...,Soul_Wake up...
Dream1_2,Soul_Pronto... sabrás la verdad.,Soul_Soon... you will know the truth.
Dream1_3,Felix_¿Quién eres?,Felix_¿Who are you?
Dream1_4,Felix_¿Qué quieres decir con eso?,Felix_¿What are you talking about?
WakenUp1_1,Otra vez ese sueño...,That dream again...
WakenUp1_2,"Se ha hecho tarde, debería volver a casa.","It's late, i should go back home."
