Id,Español,English
Lenguaje,Lenguaje,Language
Hola,Hola,Hello
Adiós,Adiós,Goodbye
Saludo1,¡Ey tio! ¿Qué tal todo?,¡Hey man!¿What about you?
Botón_Hola,Botón Hola,Hello Button
Botón_Adiós,Botón Adios,Goodbye Button
Botón_Saludo1,Botón Saludo1,Greetings1 Button
Boton_Español,Español,Spanish
Boton_Ingles,Inglés,English
NPC_1,Necesitamos madera para el duro invierno.,We need some wood for the hard Winter.
NPC_2,Ve al bosque a buscar un poco.,Go to the forest and look for some wood.
NPC_3,Ten cuidado con los monstruos.,Be careful with monsters.
